question,contexts,ground_truth,evolution_type,metadata,episode_done
What are the three main DOST-SEI undergraduate scholarship programs?,"['The S&T Scholarship Programs aim to: a. Provide scholarships that will finance the education of talented and deserving students who will pursue a degree in the areas of science and technology; and b. Ensure a steady and adequate supply of qualified S&T human resources who can steer the country towards national progress. A. Merit Scholarship Program (RA 2067) The DOST-SEI Merit Scholarship Program, formerly known as the NSDB or NSTA Scholarship, began in 1958. B. RA 7687 Scholarship Program Republic Act No. 7687, also known as the ""Science and Technology Scholarship Act of 1994"", provides for scholarships to talented and deserving students whose families socio-economic status does not exceed the set cut-off values of certain indicators. C. RA 10612 (Under the Junior Level Science Scholarships) Republic Act No. 10612, also known as the ""Fast-Tracked Science and Technology Scholarship Act of 2013"", aims to strengthen the country's science and technology education by fast-tracking graduates in the sciences, mathematics, and engineering.']",The three main DOST-SEI undergraduate scholarship programs are: 1) Merit Scholarship Program (RA 2067) - formerly known as NSDB or NSTA Scholarship that began in 1958; 2) RA 7687 Scholarship Program - for talented students whose families' socio-economic status doesn't exceed set cut-off values; and 3) RA 10612 (Junior Level Science Scholarships) - aimed at fast-tracking graduates to teach science and mathematics in secondary schools.,simple,"[{'source': '2025-DOST-SEI-ST-Scholars-Handbook-Final.pdf', 'page': 3, 'section': 'About the DOST-SEI Undergraduate Scholarship Programs'}]",TRUE
What is the monthly living allowance for DOST-SEI scholars during the regular academic year?,"['Scholarship Privileges Regular Academic Year Summer/Mid-Year Monthly Living Allowance PHP 8,000.00 during actual study for 10- or 11- month duration of an academic year PHP 8,000.00 for two (2) months']","The monthly living allowance for DOST-SEI scholars during the regular academic year is PHP 8,000.00 during actual study for 10- or 11-month duration of an academic year.",simple,"[{'source': '2025-DOST-SEI-ST-Scholars-Handbook-Final.pdf', 'page': 11, 'section': 'Scholarship Privileges'}]",TRUE
What happens if a first-year scholar gets 2 grades of 5.0/F at the end of the first semester?,['Academic Deficiency Scholarship Status First-Year 2 Grades of 5.0/F at the end of the First Semester Terminated with Service Obligation'],"If a first-year scholar gets 2 grades of 5.0/F at the end of the first semester, their scholarship is terminated with service obligation.",simple,"[{'source': '2025-DOST-SEI-ST-Scholars-Handbook-Final.pdf', 'page': 13, 'section': 'Specific Guidelines on Evaluation of Academic Performance of Scholars'}]",TRUE
How long must scholars render service in the Philippines after graduation?,"['After Graduation The scholar, immediately upon completion of his/her Bachelor of Science degree, must: a. Render service in the country on a full-time basis, preferably in his/her home region, and along his/her field of specialization, for a minimum period equivalent to the length of time that he/she enjoyed the scholarship.']",Scholars must render service in the Philippines for a minimum period equivalent to the length of time that they enjoyed the scholarship.,simple,"[{'source': '2025-DOST-SEI-ST-Scholars-Handbook-Final.pdf', 'page': 20, 'section': 'After Graduation'}]",TRUE
What are the eligibility criteria for RA 7687 scholarship regarding academic performance?,['Eligibility Criteria for the Undergraduate S&T Scholarships Merit RA 7687 3.1. Graduating Grade 12 students: ? All students belonging to the STEM Strand ? Non-STEM Strand: Must be in the top five percent (5%) of the class based on Grade 11 ranking; or 3.2. Graduate of Grade 12 and has not enrolled in college yet: ? All students belonging to the STEM class. ? Non-STEM Strand: Must be in the top five percent (5%) of the graduating class; or 3.3. Graduate of high school before the K-12 Program: Must belong to the top five percent (5%) of the graduating class.'],"For RA 7687 scholarship, graduating Grade 12 students from STEM strand are all eligible, while Non-STEM strand students must be in the top 5% of their class. Graduates of Grade 12 who haven't enrolled in college follow the same criteria. Graduates from before K-12 must belong to the top 5% of their graduating class.",reasoning,"[{'source': '2025-DOST-SEI-ST-Scholars-Handbook-Final.pdf', 'page': 4, 'section': 'Eligibility Criteria'}]",TRUE
What is the maximum tuition fee subsidy and what are the two options for availing it?,"['Tuition and Other School Fees Subsidy Tuition and other school fees based on the Statement of Account/ Bill/Official Receipt but not to exceed PHP 40,000.00 per academic year. This may be availed through one of the following options: a. Billing Statement thru the Letter for Enrollment b. Reimbursement basis ? To submit original Official Receipt']","The maximum tuition fee subsidy is PHP 40,000.00 per academic year. It can be availed through two options: (a) Billing Statement through the Letter for Enrollment, or (b) Reimbursement basis by submitting the original Official Receipt.",reasoning,"[{'source': '2025-DOST-SEI-ST-Scholars-Handbook-Final.pdf', 'page': 10, 'section': 'Scholarship Privileges'}]",TRUE
What are the grade requirements for second-year scholars and what happens if they don't meet them?,"['Second Year ? The scholar must have a semestral weighted average of 2.75 or better if enrolled in the UP System; 2.5 or eighty-five percent (85%) or better for scholars enrolled in other colleges and universities, and without a failing grade in any academic subject for all the semesters/trimesters/quarter terms or midyear/intersession terms.', 'Second-Year GWA below requirement by: 0.01 ? 0.10 Above 0.10 without previous deficiency If with previous deficiency Continued under Probation Continued with Partial Allowance']","Second-year scholars must have a semestral weighted average of 2.75 or better (UP System) or 2.5/85% or better (other institutions) without failing grades. If GWA is below requirement by 0.01-0.10, they continue under probation. If above 0.10 without previous deficiency, they continue with partial allowance, but if they have previous deficiency, they also continue with partial allowance.",multi_context,"[{'source': '2025-DOST-SEI-ST-Scholars-Handbook-Final.pdf', 'page': 12, 'section': 'Grade Requirements'}, {'source': '2025-DOST-SEI-ST-Scholars-Handbook-Final.pdf', 'page': 13, 'section': 'Academic Performance Evaluation'}]",TRUE
What is the difference between deferring scholarship award and taking a leave of absence?,"['Deferring the DOST-SEI Undergraduate Scholarship award is NOT permissible under any circumstances.', 'Scholars may be allowed to go on an official leave of absence from the scholarship, subject to the following conditions: I. The leave is highly justified and supported by pertinent documents. II. A written permission from the university is granted. III. The maximum duration of the leave is one (1) academic year IV. Extending the leave beyond one year will result in the termination of the scholarship.']","Deferring the DOST-SEI Undergraduate Scholarship award is NOT permissible under any circumstances.', 'Scholars may be allowed to go on an official leave of absence from the scholarship, subject to the following conditions: I. The leave is highly justified and supported by pertinent documents. II. A written permission from the university is granted. III. The maximum duration of the leave is one (1) academic year IV. Extending the leave beyond one year will result in the termination of the scholarship.']"",Deferring the DOST-SEI Undergraduate Scholarship award is NOT permissible under any circumstances, while scholars may be allowed to take a leave of absence with proper justification, university permission, and for a maximum of one academic year. Extending leave beyond one year results in scholarship termination.",reasoning,"[{'source': '2025-DOST-SEI-ST-Scholars-Handbook-Final.pdf', 'page': 9, 'section': 'Deferment of Scholarship Award'}, {'source': '2025-DOST-SEI-ST-Scholars-Handbook-Final.pdf', 'page': 16, 'section': 'Leave of Absence'}]",TRUE
What are the requirements for practical training and what benefits do scholars receive?,"['The scholar shall undergo 240-hour practical training in any of the laboratories of the DOST and its agencies or at any of the research institutions/private companies during the mid-year break immediately preceding his/her last year in college. A monthly stipend will be provided for the duration, subject to the availability of funds for the purpose, the submission of required reports, the number of hours completed, and the pertinent government accounting and auditing rules.']","Scholars must undergo 240-hour practical training in DOST laboratories, agencies, or research institutions/private companies during the mid-year break before their last year in college. They receive a monthly stipend subject to fund availability, submission of required reports, completed hours, and government accounting rules.",multi_context,"[{'source': '2025-DOST-SEI-ST-Scholars-Handbook-Final.pdf', 'page': 16, 'section': 'Practical Training'}]",TRUE
What are the conditions for shifting program or transferring schools as a DOST-SEI scholar?,"['The scholar may be allowed to shift to another S&T program of study and/or transfer schools in meritorious cases only, subject to the condition that the program he/she is shifting to is included in the list of DOST-SEI priority S&T programs and the school he/she is transferring to is a DOST-SEI identified institution.', 'Shifting of program and/or transfer of school may be done ONLY ONCE during the entire scholarship period and at the latest, by the First Semester of the Third Year.', 'JLSS scholars are NOT allowed to shift program and/or transfer of school.']","Scholars may shift programs or transfer schools in meritorious cases only, provided the new program is in DOST-SEI priority S&T programs and the school is a DOST-SEI identified institution. This can only be done ONCE during the entire scholarship period and at the latest by the First Semester of Third Year. However, JLSS scholars are NOT allowed to shift or transfer.",multi_context,"[{'source': '2025-DOST-SEI-ST-Scholars-Handbook-Final.pdf', 'page': 16-17, 'section': 'Shifting of Program of Study/Transfer of School'}]",TRUE
